Titulo,Año_lanzamiento,Calificacion,Duracion_min,Genero,IMDB_Rating,Director,Ganancia
The Fighter,2010,UA,116,Biography,7.8,David O. Russell,"93,617,009"
Taken,2008,A,90,Action,7.8,Pierre Morel,"145,000,989"
The Boy in the Striped Pyjamas,2008,PG-13,94,Drama,7.8,Mark Herman,"9,030,581"
Once,2007,R,86,Drama,7.8,John Carney,"9,439,923"
The Hobbit: An Unexpected Journey,2012,UA,169,Adventure,7.8,Peter Jackson,"303,003,568"
Drive,2011,A,100,Crime,7.8,Nicolas Winding Refn,"35,061,555"
American Gangster,2007,A,157,Biography,7.8,Ridley Scott,"130,164,645"
Avatar,2009,UA,162,Action,7.8,James Cameron,"760,507,625"
Apocalypto,2006,A,139,Action,7.8,Mel Gibson,"50,866,635"
Little Miss Sunshine,2006,UA,101,Comedy,7.8,Jonathan Dayton,"59,891,098"
Hot Fuzz,2007,UA,121,Action,7.8,Edgar Wright,"23,637,265"
The Curious Case of Benjamin Button,2008,UA,166,Drama,7.8,David Fincher,"127,509,326"
Pride & Prejudice,2005,PG,129,Drama,7.8,Joe Wright,"38,405,088"
Serenity,2005,PG-13,119,Action,7.8,Joss Whedon,"25,514,517"
Walk the Line,2005,PG-13,136,Biography,7.8,James Mangold,"119,519,402"
The Notebook,2004,A,123,Drama,7.8,Nick Cassavetes,"81,001,787"
Diarios de motocicleta,2004,U,126,Adventure,7.8,Walter Salles,"16,756,372"
The Count of Monte Cristo,2002,PG-13,131,Action,7.8,Kevin Reynolds,"54,234,062"
Remember the Titans,2000,U,113,Biography,7.8,Boaz Yakin,"115,654,751"
Wo hu cang long,2000,UA,120,Action,7.8,Ang Lee,"128,078,872"
Cast Away,2000,UA,143,Adventure,7.8,Robert Zemeckis,"233,632,142"
The Insider,1999,UA,157,Biography,7.8,Michael Mann,"28,965,197"
October Sky,1999,PG,108,Biography,7.8,Joe Johnston,"32,481,825"
Shrek,2001,U,90,Animation,7.8,Andrew Adamson,"267,665,011"
Titanic,1997,UA,194,Drama,7.8,James Cameron,"659,325,379"
The Game,1997,UA,129,Action,7.8,David Fincher,"48,323,648"
Tombstone,1993,R,130,Action,7.8,George P. Cosmatos,"56,505,065"
The Remains of the Day,1993,U,134,Drama,7.8,James Ivory,"22,954,968"
The Fugitive,1993,U,130,Action,7.8,Andrew Davis,"183,875,760"
A Bronx Tale,1993,R,121,Crime,7.8,Robert De Niro,"17,266,971"
Batman: Mask of the Phantasm,1993,PG,76,Animation,7.8,Kevin Altieri,"5,617,391"
Boyz n the Hood,1991,A,112,Crime,7.8,John Singleton,"57,504,069"
Misery,1990,R,107,Drama,7.8,Rob Reiner,"61,276,872"
Awakenings,1990,U,121,Biography,7.8,Penny Marshall,"52,096,475"
Glory,1989,R,122,Biography,7.8,Edward Zwick,"26,830,000"
Back to the Future Part II,1989,U,108,Adventure,7.8,Robert Zemeckis,"118,500,000"
Mississippi Burning,1988,A,128,Crime,7.8,Alan Parker,"34,603,943"
Predator,1987,A,107,Action,7.8,John McTiernan,"59,735,548"
Evil Dead II,1987,A,84,"Action,",7.8,Sam Raimi,"5,923,044"
Ferris Bueller's Day Off,1986,U,103,Comedy,7.8,John Hughes,"70,136,369"
The Goonies,1985,U,114,Adventure,7.8,Richard Donner,"61,503,218"
The Color Purple,1985,U,154,Drama,7.8,Steven Spielberg,"98,467,863"
The Breakfast Club,1985,UA,97,Comedy,7.8,John Hughes,"45,875,171"
The Killing Fields,1984,UA,141,Biography,7.8,Roland Joffé,"34,700,291"
Ghostbusters,1984,UA,105,Action,7.8,Ivan Reitman,"238,632,124"
The Right Stuff,1983,PG,193,Adventure,7.8,Philip Kaufman,"21,500,000"
The King of Comedy,1982,U,109,Comedy,7.8,Martin Scorsese,"2,500,000"
E.T. the Extra-Terrestrial,1982,U,115,Family,7.8,Steven Spielberg,"435,110,554"
Kramer vs. Kramer,1979,A,105,Drama,7.8,Robert Benton,"106,260,000"
Willy Wonka & the Chocolate Factory,1971,U,100,Fantasy,7.8,Mel Stuart,"4,000,000"
Deadpool 2,2018,R,119,Action,7.7,David Leitch,"324,591,735"
Wind River,2017,R,107,Crime,7.7,Taylor Sheridan,"33,800,859"
Get Out,2017,R,104,Horror,7.7,Jordan Peele,"176,040,665"
Mission: Impossible - Fallout,2018,UA,147,Action,7.7,Christopher McQuarrie,"220,159,104"
The Theory of Everything,2014,U,123,Biography,7.7,James Marsh,"35,893,537"
Kingsman: The Secret Service,2014,A,129,Action,7.7,Matthew Vaughn,"128,261,724"
The Fault in Our Stars,2014,UA,126,Drama,7.7,Josh Boone,"124,872,350"
Captain America: The Winter Soldier,2014,UA,136,Action,7.7,Anthony Russo,"259,766,572"
Wreck-It Ralph,2012,U,101,Animation,7.7,Rich Moore,"189,422,889"
Midnight in Paris,2011,PG-13,96,Comedy,7.7,Woody Allen,"56,816,662"
The Lego Movie,2014,U,100,Animation,7.7,Christopher Miller,"257,760,692"
X: First Class,2011,UA,131,Action,7.7,Matthew Vaughn,"146,408,305"
(500) Days of Summer,2009,UA,95,Comedy,7.7,Marc Webb,"32,391,374"
Harry Potter and the Deathly Hallows: Part 1,2010,A,146,Adventure,7.7,David Yates,"295,983,305"
Ex Machina,2014,UA,108,Drama,7.7,Alex Garland,"25,442,958"
The Last King of Scotland,2006,R,123,Biography,7.7,Kevin Macdonald,"17,605,861"
Zodiac,2007,UA,157,Crime,7.7,David Fincher,"33,080,084"
Lucky Number Slevin,2006,R,110,Action,7.7,Paul McGuigan,"22,494,487"
Tangled,2010,U,100,Animation,7.7,Nathan Greno,"200,821,936"
Brokeback Mountain,2005,A,134,Drama,7.7,Ang Lee,"83,043,761"
3:10 to Yuma,2007,A,122,Action,7.7,James Mangold,"53,606,916"
Crash,2004,UA,112,Crime,7.7,Paul Haggis,"54,580,300"
Kung fu,2004,UA,99,Action,7.7,Stephen Chow,"17,108,591"
Ray,2004,A,152,Biography,7.7,Taylor Hackford,"75,331,600"
Lost in Translation,2003,UA,102,Comedy,7.7,Sofia Coppola,"44,585,453"
Harry Potter and the Goblet of Fire,2005,UA,157,Adventure,7.7,Mike Newell,"290,013,036"
Man on Fire,2004,UA,146,Action,7.7,Tony Scott,"77,911,774"
Coraline,2009,U,100,Animation,7.7,Henry Selick,"75,286,229"
The Last Samurai,2003,UA,154,Action,7.7,Edward Zwick,"111,110,575"
I Am Sam,2001,PG-13,132,Drama,7.7,Jessie Nelson,"40,311,852"
Adaptation.,2002,R,115,Comedy,7.7,Spike Jonze,"22,245,861"
Black Hawk Down,2001,A,144,Drama,7.7,Ridley Scott,"108,638,745"
Road to Perdition,2002,A,117,Crime,7.7,Sam Mendes,"104,454,762"
Billy Elliot,2000,R,110,Drama,7.7,Stephen Daldry,"21,995,263"
"South Park: Bigger, Longer & Uncut",1999,A,81,Animation,7.7,Trey Parker,"52,037,603"
Office Space,1999,R,89,Comedy,7.7,Mike Judge,"10,824,921"
Training Day,2001,A,122,Crime,7.7,Antoine Fuqua,"76,631,907"
Rushmore,1998,UA,93,Comedy,7.7,Wes Anderson,"17,105,219"
Hamlet,1996,PG-13,242,Drama,7.7,Kenneth Branagh,"4,414,535"
The Muppet Christmas Carol,1992,G,85,Comedy,7.7,Brian Henson,"27,281,507"
Malcolm X,1992,U,202,Biography,7.7,Spike Lee,"48,169,908"
The Last Emperor,1987,U,163,Biography,7.7,Bernardo Bertolucci,"43,984,230"
Empire of the Sun,1987,U,153,Action,7.7,Steven Spielberg,"22,238,696"
Searching,2018,U/A,102,Drama,7.6,Aneesh Chaganty,"26,020,957"
Once Upon a Time... in Hollywood,2019,A,161,Comedy,7.6,Quentin Tarantino,"142,502,728"
The Florida Project,2017,A,111,Drama,7.6,Sean Baker,"5,904,366"
Gifted,2017,PG-13,101,Drama,7.6,Marc Webb,"24,801,212"
The Peanut Butter Falcon,2019,PG-13,97,Adventure,7.6,Tyler Nilson,"13,122,642"
Guardians of the Galaxy Vol. 2,2017,UA,136,Action,7.6,James Gunn,"389,813,101"
Incredibles 2,2018,UA,118,Animation,7.6,Brad Bird,"608,581,744"
Moana,2016,U,107,Animation,7.6,Ron Clements,"248,757,044"
Sicario,2015,A,121,Action,7.6,Denis Villeneuve,"46,889,293"
Dawn of the Planet of the Apes,2014,UA,130,Action,7.6,Matt Reeves,"208,545,589"
Despicable Me,2010,U,95,Animation,7.6,Pierre Coffin,"251,513,985"
50/50,2011,R,100,Comedy,7.6,Jonathan Levine,"35,014,192"
Kick-Ass,2010,UA,117,Action,7.6,Matthew Vaughn,"48,071,303"
Zombieland,2009,A,88,Adventure,7.6,Ruben Fleischer,"75,590,286"
Sherlock Holmes,2009,PG-13,128,Adventure,7.6,Guy Ritchie,"209,028,679"
The Visitor,2007,PG-13,104,Drama,7.6,Tom McCarthy,"9,422,422"
Inside Man,2006,R,129,Crime,7.6,Spike Lee,"88,513,495"
The Illusionist,2006,U,110,Fantasy,7.6,Neil Burger,"39,868,642"
Harry Potter and the Half-Blood Prince,2009,UA,153,Adventure,7.6,David Yates,"301,959,197"
300,2006,A,117,Action,7.6,Zack Snyder,"210,614,939"
Match Point,2005,R,124,Drama,7.6,Woody Allen,"23,089,926"
Watchmen,2009,A,162,Action,7.6,Zack Snyder,"107,509,799"
Lord of War,2005,R,122,Action,7.6,Andrew Niccol,"24,149,632"
Finding Neverland,2004,U,106,Biography,7.6,Marc Forster,"51,680,613"
25th Hour,2002,R,135,Drama,7.6,Spike Lee,"13,060,843"
The Butterfly Effect,2004,U,113,Drama,7.6,Eric Bress,"57,938,693"
28 Days Later...,2002,A,113,Horror,7.6,Danny Boyle,"45,064,915"
Harry Potter and the Sorcerer's Stone,2001,U,152,Adventure,7.6,Chris Columbus,"317,575,550"
The Others,2001,PG-13,101,Horror,7.6,Alejandro Amenábar,"96,522,687"
The Hurricane,1999,R,146,Biography,7.6,Norman Jewison,"50,668,906"
Mulan,1998,U,88,Animation,7.6,Tony Bancroft,"120,620,254"
Apollo 13,1995,U,140,Adventure,7.6,Ron Howard,"173,837,933"
The Godfather: Part III,1990,A,162,Crime,7.6,Francis Ford Coppola,"66,666,062"
Mad Max 2,1981,A,96,Action,7.6,George Miller,"12,465,371"
The Warriors,1979,UA,92,Action,7.6,Walter Hill,"22,490,039"
The Muppet Movie,1979,U,95,Adventure,7.6,James Frawley,"76,657,000"
Escape from Alcatraz,1979,A,112,Action,7.6,Don Siegel,"43,000,000"
Midnight Express,1978,A,121,Biography,7.6,Alan Parker,"35,000,000"
The Jungle Book,1967,U,78,Animation,7.6,Wolfgang Reitherman,"141,843,612"
